country,region,EPI2022,HLT2022,AIR2022,H2O2022,HMT2022,WMG2022,EPI.2020,HLT.2020,AIR.2020,H2O.2020,HMT.2020,WMG.2020,EPI.2018,HLT.2018,AIR.2018,H2O.2018,HMT.2018
Suriname,Latin America & Caribbean,45.9,36,36.9,39.4,42.6,15.9,45.2,36.6,37.4,39.3,43.2,0,62.3,73.3,61.19,96.52,91.48
Slovakia,Eastern Europe,60,59,50.9,71.9,68.4,62.2,68.3,64.3,56.2,71.8,69.2,80.6,78.39,94.21,94.07,100,61.27
Slovenia,Eastern Europe,67.3,64.4,55.1,74.7,87.2,66.7,72,68.9,60.9,74.7,88.1,83.8,60.61,64.7,69.91,53.09,66.58
Sweden,Global West,72.7,93.1,94,98.6,96.9,70.8,78.7,98.4,98.2,98.5,98,99.8,51.49,50.09,64.56,24.46,15.78
Eswatini,Sub-Saharan Africa,44.9,17.9,16.9,12.6,39.6,14.6,33.8,17.6,21.1,12.6,40.2,0,54.2,62.46,75.24,40.14,30.29
Seychelles,Sub-Saharan Africa,55.6,54.2,54.8,51.5,67.8,44.4,58.2,50.8,53.6,51.4,68.6,0,40.32,32.54,42.3,9.36,44.73
Chad,Sub-Saharan Africa,28.1,16.7,24.3,0,28.6,5.1,26.7,14.9,26.8,0,29.1,0,80.51,94.41,92.84,96.88,100
Togo,Sub-Saharan Africa,34,18.2,21,5.2,43.1,10.3,29.5,16.4,24.1,5.1,43.7,1,87.42,93.57,91.06,99.99,87.77
Thailand,Asia-Pacific,38.1,43.8,34.4,55.9,80.7,28.5,45.4,48.4,40.6,55.8,81.6,32.9,72.84,69.85,69.04,69.71,81.17
Tajikistan,Former Soviet States,37.1,16.6,12.2,30.9,15.3,6.4,38.2,20.7,15.2,30.9,15.7,0,47.85,26.26,23.22,29.9,44.01
Turkmenistan,Former Soviet States,37,42.3,38.7,47.4,42.9,48.5,43.9,45,42,47.3,43.5,59.2,50.83,45,60.55,11.8,42.14
Timor-Leste,Asia-Pacific,35.1,29.6,32.5,26,33.8,18.3,35.3,28.9,33.6,25.9,34.3,0,49.88,46.21,37.9,59.37,75.36
Tonga,Asia-Pacific,43.8,45.6,41.9,46.5,77.9,31.7,45.1,43.6,39.5,46.4,78.8,27.2,49.54,51.02,64.77,22.86,41.17
Trinidad and Tobago,Latin America & Caribbean,47.8,52.7,54.3,53.4,81.1,13.3,47.5,54.6,57.2,53.4,82,10.4,41.78,38.25,50.08,12.92,36.36
Tunisia,Greater Middle East,40.7,43.2,43.3,52.6,35.9,26.2,46.7,49.2,48.7,52.6,36.5,39.6,62.49,62.51,68.96,46.97,71.83
Turkey,Eastern Europe,26.3,47.8,44.6,52.7,60.8,40.6,42.6,51.3,49.5,52.6,61.5,48.5,67.36,81.44,93.91,56.29,70.35
Taiwan,Asia-Pacific,45.3,56.7,46.2,72.4,72.8,59.2,57.2,59.2,53.2,72.4,73.6,0,62.35,81.12,95.45,57.6,36.02
Tanzania,Sub-Saharan Africa,34.2,28.2,33.2,18.5,43,10.4,31.1,27.4,35.8,18.4,43.6,0,52.96,71.56,78.2,59.28,58.96
Uganda,Sub-Saharan Africa,35.8,24.9,27.4,17.6,41.3,13.2,35.6,25.7,32.6,17.6,41.9,4.9,66.1,73.53,87.82,45.96,53.27
Ukraine,Former Soviet States,49.6,43.6,35.9,55.2,68.4,32,49.5,49,39.8,55.1,69.3,73.1,44.28,33.64,42.43,13.1,42.43
Uruguay,Latin America & Caribbean,37.4,62.7,63.6,70.8,61.5,38.5,49.1,67.7,67.7,70.8,62.3,48.9,52.87,64.44,64.21,60.89,88.71
United States of America,Global West,51.1,76.8,77,86.1,75.1,54.3,69.3,82.8,84.2,86.1,75.9,48.3,58.9,67.88,72.93,63.27,29.81
Uzbekistan,Former Soviet States,38.2,26.5,16.7,52.1,27.3,15.9,44.3,29.7,15,52,27.8,0,79.89,96.03,94.43,100,93.09
Saint Vincent and the Grenadines,Latin America & Caribbean,53.2,42.5,42.7,43.6,34.2,47.4,48.4,44.1,42.6,43.5,34.7,72.8,71.19,93.91,97.52,90.92,64.99
Venezuela,Latin America & Caribbean,46.4,42.9,46.7,46.8,42.5,12.1,50.3,46.5,51.3,46.8,43.1,0,64.65,84.72,87.49,83.37,56.76
Viet Nam,Asia-Pacific,20.1,35.1,26.5,52.8,47.1,25.6,33.4,40.6,32,52.7,47.8,22.8,45.88,50.67,44.79,64.12,46.3
Vanuatu,Asia-Pacific,36.9,30.4,30.7,21.5,44.9,36.5,28.9,26.7,28.6,21.5,45.6,31.4,44.55,50.46,61.05,28.73,43.22
Samoa,Asia-Pacific,36.4,44,36,49.3,67.8,51.2,37.3,42.4,33.4,49.2,68.6,51.7,63.89,75.74,90.39,50.39,37.32
South Africa,Sub-Saharan Africa,37.2,28.1,22.2,24.7,58.1,39.2,43.1,31.1,28.9,24.6,58.8,77,46.96,47.12,43.2,53.92,57.15
Zambia,Sub-Saharan Africa,38.4,21.2,23.6,13.5,41.7,6.9,34.7,21,27,13.4,42.4,0,50.97,31.57,41.66,9.08,35.26
Zimbabwe,Sub-Saharan Africa,46.2,21.9,23.9,16.9,32.1,13.3,37,22.5,27.2,16.8,32.6,11,43.41,40.58,53.52,12.19,42.65
